company,industry,title,description,Tag,date,url,icon
Whatnot,E-commerce and retail,Improve user search experience,Enhancing Search Using Large Language Models,"LLM,generative AI,search",2023,https://medium.com/whatnot-engineering/enhancing-search-using-large-language-models-f9dcb988bdb9,fa-shopping-cart
Leboncoin,E-commerce and retail,Display ads relevant to users' queries,Serving Large Language Models to improve Search Relevance at leboncoin,"LLM,generative AI",2023,https://medium.com/leboncoin-tech-blog/serving-large-language-models-to-improve-search-relevance-at-leboncoin-2a364e5b6f76,fa-shopping-cart
Swiggy,Delivery and mobility,Insights on adopting CodeGen tools,How GenAI Codegen tools are helping us deliver convenience quicker,ops,2023,https://bytes.swiggy.com/how-genai-codegen-tools-are-helping-us-deliver-convenience-quicker-133248a0c714,fa-truck
"
Kingfisher Technology",E-commerce and retail,Analyze key themes in customer surveys,Uncovering Hidden Insights in Customer Feedback,"NLP,item classification",2023,https://medium.com/kingfisher-technology/uncovering-hidden-insights-in-customer-feedback-824daa16fa37,fa-shopping-cart
Airbnb,"Travel,E-commerce and retail",Extract information from unstructured text data,Wisdom of Unstructured Data: Building Airbnb’s Listing Knowledge from Big Text Data,"NLP,item classification,search",2023,https://medium.com/airbnb-engineering/wisdom-of-unstructured-data-building-airbnbs-listing-knowledge-from-big-text-data-7c533466a63c,fa-home
Zillow,E-commerce and retail,De-noise data in the housing market,Imputing Data for the Zestimate,ops,2023,https://www.zillow.com/tech/imputing-data-for-the-zestimate/,fa-shopping-cart
Canva,Tech,Recognize hand-drawn shapes,Ship Shape,"CV,product feature",2023,https://www.canva.dev/blog/engineering/ship-shape/,fa-microchip
Picnic,Delivery and mobility,Forecast demand for perishable products,Running demand forecasting machine learning models at scale,demand forecasting,2023,https://blog.picnic.nl/running-demand-forecasting-machine-learning-models-at-scale-bd058c9d4aa7,fa-truck
Lifen,Tech,Explain NLP predictions,Visual Explainable NLP @ Lifen,ops,2023,https://medium.com/lifen-engineering/visual-explainable-nlp-lifen-4d4dd5007205,fa-microchip
Haleon,Manufacturing,Optimize marketing spending ROI,Using Reinforcement Learning to track marketing spend,ops,2023,https://medium.com/trusted-data-science-haleon/using-reinforcement-learning-to-track-marketing-spend-db67e843476b,fa-industry
Vinted,E-commerce and retail,Personalize fashion recommendations,Adopting the Vespa search engine for serving personalized second-hand fashion recommendations at Vinted,recommender system,2023,https://vinted.engineering/2023/10/09/adopting-vespa-for-recommendation-retrieval/,fa-shopping-cart
Shopify,E-commerce and retail,Identify data points for sampled success metrics,Monte Carlo Simulations: Separating Signal from Noise in Sampled Success Metrics,ops,2023,https://shopify.engineering/monte-carlo-simulations-sampled-success-metrics,fa-shopping-cart
Dropbox,Tech,Organize files in folders,Putting everything in its right place with ML-powered file organization,product feature,2023,https://dropbox.tech/machine-learning/smart-move-ml-ai-file-organization-automation,fa-microchip
Stitch Fix,E-commerce and retail,Debug personalized search system,Ariadne: building a custom observability UI for personalized search,"search,ops",2023,https://multithreaded.stitchfix.com/blog/2023/06/13/ariadne-observability-ui-for-search/,fa-shopping-cart
Cars24,E-commerce and retail,Serve personalized car listings,Personalized buyer listings at CARS24 — an overview,search,2023,https://medium.com/cars24-data-science-blog/personalized-buyer-listings-at-cars24-an-overview-83d8428bd7d9,fa-shopping-cart
Intercom,Tech,Building customer support chatbots with LLM,Building SaaS Products with LLMs at Intercom,"LLM,customer support,generative AI",2023,https://www.youtube.com/watch?v=VTrJqRfJ5gk,fa-microchip
Grammarly,Tech,Instruction-tuned LLM for text editing,CoEdIT: State-of-the-Art Text Editing With Fewer Parameters,"LLM,product feature,generative AI",2023,https://www.grammarly.com/blog/engineering/coedit-text-editing/,fa-microchip
Digits,Fintech and banking,Suggest questions about banking transactions,ChatGPT for Accounting: How Digits is using Generative Machine Learning to transform finance,"generative AI,LLM",2023,https://digits.com/developer/posts/assisting-accountants-with-generative-machine-learning/,fa-credit-card
Microsoft / GitHub,Tech,Pain points of building product copilots,"Building Your Own Product Copilot: Challenges, Opportunities, and Needs","LLM,generative AI",2023,https://arxiv.org/abs/2312.14231,fa-microchip
GitHub,Tech,Assist in coding tasks,How we’re experimenting with LLMs to evolve GitHub Copilot,"generative AI,product feature,LLM",2023,https://github.blog/2023-12-06-how-were-experimenting-with-llms-to-evolve-github-copilot/,fa-microchip
Instacart,E-commerce and retail,Prompt techniques for LLM-powered productivity tooling,"Monte Carlo, Puppetry and Laughter: The Unexpected Joys of Prompt Engineering","LLM,generative AI",2023,https://tech.instacart.com/monte-carlo-puppetry-and-laughter-the-unexpected-joys-of-prompt-engineering-4b9272e0c4eb,fa-shopping-cart
Haleon,Manufacturing,Organize and manage company media assets,Employing Computer Vision in Digital Asset Management (Part 2),CV,2023,https://medium.com/trusted-data-science-haleon/employing-computer-vision-in-digital-asset-management-part-ii-c0f38e9df642,fa-industry
Etsy,E-commerce and retail,Personalize ads in real time,Leveraging Real-Time User Actions to Personalize Etsy Ads,"product feature,ad ranking/targeting",2023,https://www.etsy.com/uk/codeascraft/leveraging-real-time-user-actions-to-personalize-etsy-ads,fa-shopping-cart
Delivery Hero,Delivery and mobility,Match inventory with competitors' products,Semantic Product Matching,"LLM,ops,generative AI",2023,https://tech.deliveryhero.com/semantic-product-matching/,fa-truck
Uber,Delivery and mobility,Simulate changes to ads system,Accelerating Advertising Optimization: Unleashing the Power of Ads Simulation,ad ranking / targeting,2023,https://www.uber.com/en-SG/blog/unleashing-the-power-of-ads-simulation/?uclick_id=92508acc-3a86-4fcc-bc5f-ba1799e3055e,fa-truck
Guardian,Media and streaming,Matching text quotes with sources,Who said what: using machine learning to correctly attribute quotes,NLP,2023,https://www.theguardian.com/info/2023/nov/21/who-said-what-using-machine-learning-to-correctly-attribute-quotes,fa-music
Digits,Fintech and banking,Spots inconsistencies in ledgers,Assisting Accountants with Similarity-based Machine Learning,"product feature,NLP",2023,https://digits.com/developer/posts/assisting-accountants-with-similarity-based-machine-learning/,fa-credit-card
Target,E-commerce and retail,Recommend items based on existing basket,Target AutoComplete: Real Time Item Recommendations at Target,recommender system,2023,https://tech.target.com/blog/target-autocomplete,fa-shopping-cart
Snap,Social platforms,Personalize recommendations based on user interests,Embedding-based Retrieval with Two-Tower Models in Spotlight,recommender system,2023,https://eng.snap.com/embedding-based-retrieval,fa-users
Linkedin,Social networks,Detect content violating platform's policy,Enhancing Content Review: Proactively addressing threats with AutoML,spam / content moderation,2023,https://engineering.linkedin.com/blog/2023/enhancing-content-review--proactively-addressing-threats-with-au,fa-user-friends
Cars24,E-commerce and retail,Optimize car listing price ,ML driven dynamic pricing @ CARS24 — Part 1,pricing,2023,https://medium.com/cars24-data-science-blog/how-cars24-uses-machine-learning-for-dynamic-pricing-of-used-cars-part-1-51fee52860d1,fa-shopping-cart
Haleon,Manufacturing,Optimize operations in toothpaste manufacturing,FastDTW in Action: Optimising Manufacturing Operations,ops,2023,https://medium.com/trusted-data-science-haleon/fastdtw-in-action-optimizing-manufacturing-operations-c07f3cc5023c,fa-industry
Coinbase,Fintech and banking,Predict potential fraudulent transactions,Detecting Fraudulent Transactions: Coinbase Scalable Blockchain Address Risk Scoring System,fraud detection,2023,https://www.coinbase.com/blog/detecting-fraudulent-transactions-coinbase-scalable-blockchain-address-risk,fa-credit-card
Wayfair,E-commerce and retail,"Detect account-hopping fraud
",Preventing Policy Abuse with Graph Neural Networks,fraud detection,2023,https://www.aboutwayfair.com/careers/tech-blog/preventing-policy-abuse-with-graph-neural-networks,fa-shopping-cart
Harvard,Education,Build AI teaching assistant,An AI Professor at Harvard: ChatLTV,"RAG,LLM,chatbot",2023,https://www.linkedin.com/pulse/ai-professor-harvard-chatltv-jeffrey-bussgang-oiaie/,fa-book
Anyscale,Tech,Build RAG-based AI assistant,[VIDEO] Developing and Serving RAG-Based LLM Applications in Production,"RAG,LLM,generative AI",2023,https://www.youtube.com/watch?v=YO9jYy-HIRY,fa-microchip
Ebay,E-commerce and retail,Recommend relevant e-commerce items,Building a Deep Learning Based Retrieval System for Personalized Recommendations,recommender system,2022,https://tech.ebayinc.com/engineering/building-a-deep-learning-based-retrieval-system-for-personalized-recommendations/,fa-shopping-cart
Mercado Libre,Delivery and mobility,Predict product dimensions for delivery,Predicting package dimensions based on a similarity model at Mercado Libre,"ops,product feature",2022,https://medium.com/mercadolibre-tech/predicting-package-dimensions-based-on-a-similarity-model-at-mercado-libre-d64a9dd4351d,fa-truck
Doordash,Delivery and mobility,Recommend substitute items,Evolving DoorDash’s Substitution Recommendations Algorithm,"product feature,recommender system",2022,https://doordash.engineering/2022/09/08/evolving-doordashs-substitution-recommendations-algorithm/,fa-truck
Pinterest,Social platforms,Personalize homepage contents,How Pinterest Leverages Realtime User Actions in Recommendation to Boost Homefeed Engagement Volume,recommender system,2022,https://medium.com/pinterest-engineering/how-pinterest-leverages-realtime-user-actions-in-recommendation-to-boost-homefeed-engagement-volume-165ae2e8cde8 ,fa-users
Instacart,Delivery and mobility,Search food and grocery items,How Instacart Uses Embeddings to Improve Search Relevance,search,2022,https://tech.instacart.com/how-instacart-uses-embeddings-to-improve-search-relevance-e569839c3c36,fa-truck
Walmart,E-commerce and retail,Assist in e-commerce shopping ,A Unified Multi-task Model for Supporting Multiple Virtual Assistants in Walmart,"chatbot,NLP,voice interface",2022,https://medium.com/walmartglobaltech/a-unified-multi-task-model-for-supporting-multiple-virtual-assistants-in-walmart-2b077c2c96e,fa-shopping-cart
Spotify,Media and streaming,Search for podcasts,Introducing Natural Language Search for Podcast Episodes,"search,NLP",2022,https://engineering.atspotify.com/2022/03/introducing-natural-language-search-for-podcast-episodes/,fa-music
Nextdoor,Social platforms,Predict harmful comments ,Using predictive technology to foster constructive conversations,"NLP,spam / content moderation",2022,https://engblog.nextdoor.com/using-predictive-technology-to-foster-constructive-conversations-4af437942bd4,fa-users
Walmart,E-commerce and retail,Fill shopping cart via voice dialog,Voice Reorder Experience: add Multiple Product Items to your shopping cart,voice interface,2022,https://medium.com/walmartglobaltech/voice-reorder-experience-add-multiple-product-items-to-your-shopping-cart-59d20fc61797,fa-shopping-cart
Expedia,"Travel,E-commerce and retail",Categorize customer feedback,Categorising Customer Feedback Using Unsupervised Learning,"NLP,item classification",2022,https://medium.com/expedia-group-tech/categorising-customer-feedback-using-unsupervised-learning-8608c1e62d48,fa-home
Foodpanda,Delivery and mobility,Classify restaurants and cuisines,Classifying restaurant cuisines with subjective labels,item classification,2022,https://medium.com/foodpanda-data/classifying-restaurant-cuisines-with-subjective-labels-fa10012d18a9 ,fa-truck
Ebay,Social platforms,Recommend products and content,Multi-Relevance Ranking Model for Similar Item Recommendation,recommender system,2022,https://tech.ebayinc.com/engineering/multi-relevance-ranking-model-for-similar-item-recommendation/,fa-users
Gousto,Delivery and mobility,Predict subscription churn,Using Data Science to Retain Customers,churn prediction,2022,https://medium.com/gousto-engineering-techbrunch/using-data-science-to-retain-customers-63f19a03a0b6,fa-truck
Google,Tech,Generate summaries,Auto-generated Summaries in Google Docs,"product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/03/auto-generated-summaries-in-google-docs.html,fa-microchip
Yelp,Social platforms,Personalize recommendations,Beyond Matrix Factorization: Using hybrid features for user-business recommendations,recommender system,2022,https://engineeringblog.yelp.com/2022/04/beyond-matrix-factorization-using-hybrid-features-for-user-business-recommendations.html,fa-users
PayPal,Fintech and banking,Prioritize sales leads,Sales Pipeline Management with Machine Learning: A Lightweight Two-Layer Ensemble Classifier Framework,"propensity to buy,lead scoring",2022,https://medium.com/paypal-tech/sales-pipeline-management-with-machine-learning-15398bab913b,fa-credit-card
Grubhub,Delivery and mobility,Forecast order volume,Forecasting Grubhub Order Volume At Scale,demand forecasting,2022,https://bytes.grubhub.com/forecasting-grubhub-order-volume-at-scale-a966c2f901d2,fa-truck
Github,Tech,Detect vulnerabilities in code,Leveraging machine learning to find security vulnerabilities,"product feature,ops",2022,https://github.blog/2022-02-17-leveraging-machine-learning-find-security-vulnerabilities/,fa-microchip
Uber,Delivery and mobility,Detect payment fraud,Project RADAR: Intelligent Early Fraud Detection System with Humans in the Loop,fraud detection,2022,https://www.uber.com/en-GB/blog/project-radar-intelligent-early-fraud-detection/,fa-truck
Gojek,Delivery and mobility,Predict food delivery times,How We Estimate Food Debarkation Time With 'Tensoba',ETA prediction,2022,https://www.gojek.io/blog/food-debarkation-tensoba,fa-truck
Uber,Delivery and mobility,Predict estimated time of arrival,DeepETA: How Uber Predicts Arrival Times Using Deep Learning,ETA prediction,2022,https://www.uber.com/en-GB/blog/deepeta-how-uber-predicts-arrival-times/,fa-truck
Trivago,"Travel,E-commerce and retail",Optimize accommodation ranking,Explore-exploit dilemma in Ranking model,search,2022,https://tech.trivago.com/post/2022-11-04-explore-exploit-dilemma-in-ranking-model,fa-home
Gousto,Delivery and mobility,Recommend food items and recipes,Gousto R-series Vol 2: Tackling the Cold-Start Problem in Recipe Recommendation Engine,recommender system,2022,https://medium.com/gousto-engineering-techbrunch/gousto-r-series-vol-2-tackling-the-cold-start-problem-in-recipe-recommendation-engine-af92a434805f,fa-truck
Spotify,Media and streaming,Forecast user activity metrics,How We Built Infrastructure to Run User Forecasts at Spotify,ops,2022,https://engineering.atspotify.com/2022/06/how-we-built-infrastructure-to-run-user-forecasts-at-spotify/ ,fa-music
Google,Tech,Summarize conversations,"
Conversation Summaries in Google Chat","product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/11/conversation-summaries-in-google-chat.html,fa-microchip
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML and Human-in-the-Loop,"search,product feature",2022,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-and-human-in-the-loop-e97988e70ebb,fa-home
Uber,Delivery and mobility,Send timely push notifications,How Uber Optimizes the Timing of Push Notifications using ML and Linear Programming,content personalization,2022,https://www.uber.com/en-US/blog/how-uber-optimizes-push-notifications-using-ml/,fa-truck
Meta,Social platforms,Personalize daily digest notifications,Improving Instagram notification management with machine learning and causal inference,"causality,content personalization",2022,https://engineering.fb.com/2022/10/31/ml-applications/instagram-notification-management-machine-learning/,fa-users
Instacart,Delivery and mobility,Recommend relevant food items,Personalizing Recommendations for a Learning User,recommender system,2022,https://www.instacart.com/company/how-its-made/personalizing-recommendations-for-a-learning-user/,fa-truck
Expedia,"Travel,E-commerce and retail",Rank relevant travel deals,How to Optimise Rankings with Cascade Bandits,search,2022,https://medium.com/expedia-group-tech/how-to-optimise-rankings-with-cascade-bandits-5d92dfa0f16b,fa-home
Doordash,Delivery and mobility,Personalize recommendations on homepage,Homepage Recommendation with Exploitation and Exploration,recommender system,2022,https://doordash.engineering/2022/10/05/homepage-recommendation-with-exploitation-and-exploration/,fa-truck
Linkedin,Social platforms,Improve post search functionality,Improving Post Search at LinkedIn,search,2022,https://engineering.linkedin.com/blog/2022/improving-post-search-at-linkedin,fa-users
Artefact,Tech,Evaluate success of past promotions,Forecasting something that never happened: how we estimated past promotions profitability,demand forecasting,2022,https://medium.com/artefact-engineering-and-data-science/forecasting-something-that-never-happened-how-we-estimated-past-promotions-profitability-5f55cfa1d477,fa-microchip
Doordash,Delivery and mobility,Find high-value merchants,Building the Model Behind DoorDash’s Expansive Merchant Selection,"lead scoring,demand forecasting",2022,https://doordash.engineering/2022/04/19/building-merchant-selection/,fa-truck
Grammarly,Tech,Suggest text edits,"Under the Hood of the Grammarly Editor, Part Two: How Suggestions Work","product feature,NLP,generative AI",2022,https://www.grammarly.com/blog/engineering/how-suggestions-work-grammarly-editor/,fa-microchip
Amazon,Media and streaming,Suggest music to listen to,The Amazon Music conversational recommender is hitting the right notes,"recommender system,product feature,voice interface",2022,https://www.amazon.science/latest-news/how-amazon-music-uses-recommendation-system-machine-learning,fa-music
Snap,Social platforms,Rank relevant ads,Machine Learning for Snapchat Ad Ranking,ad ranking / targeting,2022,https://eng.snap.com/machine-learning-snap-ad-ranking,fa-users
Instacart,E-commerce and retail,Autocomplete user searches in e-commerce,How Instacart Uses Machine Learning-Driven Autocomplete to Help People Fill Their Carts,"NLP,search,product feature",2022,https://tech.instacart.com/how-instacart-uses-machine-learning-driven-autocomplete-to-help-people-fill-their-carts-9bc56d22bafb,fa-shopping-cart
Zillow,E-commerce and retail,Select tags for product listings,Helping Home Shoppers Find a Home to Love Through Home Insights,"NLP,product feature,item classification",2022,https://www.zillow.com/tech/helping-shoppers-find-a-home-using-home-insights/,fa-shopping-cart
Netflix,Media and streaming,Detect account or content fraud,Machine Learning for Fraud Detection in Streaming Services,fraud detection,2022,https://netflixtechblog.medium.com/machine-learning-for-fraud-detection-in-streaming-services-b0b4ef3be3f6,fa-music
Airbnb,"Travel,E-commerce and retail",Improve customer support,How AI Text Generation Models Are Reshaping Customer Support at Airbnb,"ops,customer support,generative AI",2022,https://medium.com/airbnb-engineering/how-ai-text-generation-models-are-reshaping-customer-support-at-airbnb-a851db0b4fa3,fa-home
Linkedin,Social platforms,Predict churn and upsell products,The journey to build an explainable AI-driven recommendation system,"churn prediction,propensity to buy,lead scoring",2022,https://engineering.linkedin.com/blog/2022/the-journey-to-build-an-explainable-ai-driven-recommendation-sys,fa-users
Autotrader,E-commerce and retail,Personalize automotive search results ,Real-Time Personalisation of Search Results with Auto Trader's Customer Data Platform,search,2022,https://engineering.autotrader.co.uk/2022/11/23/real-time-personalisation-of-search-results-with-auto-traders-customer-data-platform.html,fa-shopping-cart
Peloton,Tech,Recommend fitness training videos,How We Built: An Early-Stage Machine Learning Model for Recommendations,recommender system,2022,https://www.onepeloton.com/press/articles/how-we-built-machine-learning,fa-microchip
Walmart,E-commerce and retail,Categorize e-commerce products,Semantic Label Representation with an Application on Multimodal Product Categorization,"item classification,NLP",2022,https://medium.com/walmartglobaltech/semantic-label-representation-with-an-application-on-multimodal-product-categorization-63d668b943b7,fa-shopping-cart
Doordash,Delivery and mobility,Search food and grocery items,3 Changes to Expand DoorDash’s Product Search Beyond Delivery,search,2022,https://doordash.engineering/2022/05/10/3-changes-to-expand-doordashs-product-search/,fa-truck
Faire,E-commerce and retail,Rank e-commerce items (feature store),Real-time ranking at Faire part 2: the feature store,search,2022,https://craft.faire.com/real-time-ranking-at-faire-part-2-the-feature-store-3f1013d3fe5d,fa-shopping-cart
New York Times,Media and streaming,Personalize paywall limits,How The New York Times Uses Machine Learning To Make Its Paywall Smarter,"causality,content personalization,product feature",2022,https://open.nytimes.com/how-the-new-york-times-uses-machine-learning-to-make-its-paywall-smarter-e5771d5f46f8,fa-music
Linkedin,Social platforms,Predict ad click-through rate,Challenges and practical lessons from building a deep-learning-based ads CTR prediction model,ad ranking / targeting,2022,https://engineering.linkedin.com/blog/2022/challenges-and-practical-lessons-from-building-a-deep-learning-b,fa-users
Zillow,E-commerce and retail,Identify customers that are likely to convert,"Identifying High-Intent Buyers
",propensity to buy,2022,https://www.zillow.com/tech/identifying-high-intent-buyers/,fa-shopping-cart
Netflix,Media and streaming,Recommend content to view,Reinforcement Learning for Budget Constrained Recommendations,recommender system,2022,https://netflixtechblog.com/reinforcement-learning-for-budget-constrained-recommendations-6cbc5263a32a,fa-music
Walmart,E-commerce and retail,Forecast anomalies in refrigeration ,Forecast Anomalies in Refrigeration with PySpark & Sensor-data,"ops,predictive maintenance",2022,https://medium.com/walmartglobaltech/forecast-anomalies-in-refrigeration-with-pyspark-sensor-data-195f23ae24e2,fa-shopping-cart
Stitch Fix,E-commerce and retail,Recommend e-commerce items,Client Time Series Model: a Multi-Target Recommender System based on Temporally-Masked Encoders,recommender system,2022,https://multithreaded.stitchfix.com/blog/2022/10/14/client-time-series-model/,fa-shopping-cart
Gojek,Delivery and mobility,Predict estimated time of delivery,How We Estimate Food Debarkation Time With ‘Tensoba’,ETA prediction,2022,https://medium.com/gojekengineering/how-we-estimate-food-debarkation-time-with-tensoba-da05674cb758,fa-truck
Zillow,E-commerce and retail,Extract text features,Incorporating Listing Descriptions into the Zestimate,"NLP,product feature",2022,https://www.zillow.com/tech/incorporating-listing-descriptions-into-the-zestimate/,fa-shopping-cart
Etsy,E-commerce and retail,Rank marketplace search results,Deep Learning for Search Ranking at Etsy,search,2022,https://www.etsy.com/uk/codeascraft/deep-learning-for-search-ranking-at-etsy,fa-shopping-cart
Walmart,E-commerce and retail,Curate e-commerce product recommendations,Scaling Product Recommendations using Basket Analysis- Part 1,recommender system,2022,https://medium.com/walmartglobaltech/scaling-product-recommendations-using-basket-analysis-part-1-8434d4f8756f,fa-shopping-cart
Lyft,Delivery and mobility,Optimize trip price,Pricing at Lyft,pricing,2022,https://eng.lyft.com/pricing-at-lyft-8a4022065f8b,fa-truck
Grammarly,Tech,Correct grammatical errors,Innovating the Basics: Achieving Superior Precision and Recall in Grammatical Error Correction,"NLP,product feature",2022,https://www.grammarly.com/blog/engineering/innovating-the-basics/,fa-microchip
Twitter,Social platforms,Recommend accounts to follow,Model-based candidate generation for account recommendations,recommender system,2022,https://blog.twitter.com/engineering/en_us/topics/insights/2022/model-based-candidate-generation-for-account-recommendations,fa-users
Airbnb,"Travel,E-commerce and retail",Improve customer travel experience,Intelligent Automation Platform: Empowering Conversational AI and Beyond at Airbnb,"NLP,voice interface",2022,https://medium.com/airbnb-engineering/intelligent-automation-platform-empowering-conversational-ai-and-beyond-at-airbnb-869c44833ff2,fa-home
Swiggy,Delivery and mobility,Flag incorrectly captured locations,Using deep learning to detect dissonance between address text and location,"product feature,ops",2022,https://bytes.swiggy.com/using-deep-learning-to-detect-dissonance-between-address-text-and-location-4b228bc2c3fb,fa-truck
Uber,Delivery and mobility,Verify documents,Uber’s Real-Time Document Check,"product feature,fraud detection,CV",2022,https://www.uber.com/en-GB/blog/ubers-real-time-document-check/,fa-truck
Wayfair,E-commerce and retail,Optimize email sending time and frequency,Nightingale: Scalable Daily Sales Email Sending Decision Model,content personalization,2022,https://www.aboutwayfair.com/careers/tech-blog/nightingale-scalable-daily-email-sending-decision-model,fa-shopping-cart
Didact AI,Fintech and banking,Predict stock prices,Didact AI: The anatomy of an ML-powered stock picking engine,"pricing,product feature",2022,https://principiamundi.com/posts/didact-anatomy,fa-credit-card
Wayfair,E-commerce and retail,Identify specific entities within a text,Wayfair’s New Approach to Aspect Based Sentiment Analysis Helps Customers Easily Find “Long Tail” Products,"search,item classification",2022,https://www.aboutwayfair.com/careers/tech-blog/wayfairs-new-approach-to-aspect-based-sentiment-analysis-helps-customers-easily-find-long-tail-products,fa-shopping-cart
Oda,Delivery and mobility,Predict driver's non-driving time,How we went from zero insight to predicting service time with a machine learning model — Part 2/2,"ETA prediction,ops",2022,https://medium.com/oda-product-tech/how-we-went-from-zero-insight-to-predicting-service-time-with-a-machine-learning-model-part-2-2-ad8b0c3e4838,fa-truck
Wayfair,E-commerce and retail,"Predict intent in customer support messages
",Building Wayfair’s First Virtual Assistant: Automating Customer Service by Text Based Intent Prediction,"NLP,customer support",2022,https://www.aboutwayfair.com/careers/tech-blog/building-wayfairs-first-virtual-assistant-automating-customer-service-by-text-based-intent-prediction,fa-shopping-cart
Linkedin,Social platforms,Estimate the impact of product changes,Ocelot: Scaling observational causal inference at LinkedIn,causality,2022,https://engineering.linkedin.com/blog/2022/ocelot--scaling-observational-causal-inference-at-linkedin,fa-users
Grab,"Delivery and mobility,Banking and finance",Detect fraud with graph models,Graph for fraud detection,fraud detection,2022,https://engineering.grab.com/graph-for-fraud-detection,fa-truck
Lyft,Delivery and mobility,Make causally valid forecasts,Causal Forecasting at Lyft (Part 1),"causality,demand forecasting",2022,https://eng.lyft.com/causal-forecasting-at-lyft-part-1-14cca6ff3d6d,fa-truck
Glassdoor,Social platforms,Recommend interesting posts to users ,Personalized Fishbowl Recommendations with Learned Embeddings: Part 2,recommender system,2022,https://medium.com/glassdoor-engineering/personalized-fishbowl-recommendations-with-learned-embeddings-part-2-78a16b04d396,fa-users
Netflix,Media and streaming,Improve video quality at scale,For your eyes only: improving Netflix video quality with neural networks,"ops,product feature",2022,https://netflixtechblog.com/for-your-eyes-only-improving-netflix-video-quality-with-neural-networks-5b8d032da09c,fa-music
Glassdoor,Social platforms,Recommend interesting posts to users ,Personalized Fishbowl Recommendations with Learned Embeddings: Part 1,recommender system,2022,https://medium.com/glassdoor-engineering/personalized-fishbowl-recommendations-with-learned-embeddings-part-1-6031abe84661,fa-users
Dailymotion,Media and streaming,Recommend diversified video content,Optimizing video feed recommendations with diversity: Machine Learning first steps,recommender system,2022,https://medium.com/dailymotion/optimizing-video-feed-recommendations-with-diversity-machine-learning-first-steps-4cf9abdbbffd,fa-music
Siemens Healthineers,Tech,Optimize software testing,Using Machine Learning for Fast Test Feedback to Developers and Test Suite Optimization,ops,2022,https://www.infoq.com/articles/machine-learning-test-feedback-optimization/,fa-microchip
Lyft,Delivery and mobility,Make causally valid forecasts,Causal Forecasting at Lyft (Part 2),"causality,demand forecasting",2022,https://eng.lyft.com/causal-forecasting-at-lyft-part-2-418f1febca5a,fa-truck
Linkedin,Social platforms,Deliver more relevant job recommendations,Improving job matching with machine-learned activity features,recommender system,2022,https://engineering.linkedin.com/blog/2022/improving-job-matching-with-machine-learned-activity-features-,fa-users
Cookidoo,E-commerce and retail,Personalize recipe recommendations,Building A Recipe Recommender System For the Thermomix on Cookidoo – Part 1,recommender system,2022,https://www.alexanderthamm.com/de/blog/building-a-recipe-recommender-system-for-the-thermomix-on-cookidoo/,fa-shopping-cart
Linkedin,Social platforms,Improve ML model performance with multitask learning,Applying multitask learning to AI models at LinkedIn,"search,ops",2022,https://engineering.linkedin.com/blog/2022/applying-multitask-learning-to-ai-models-at-linkedin,fa-users
Netflix,Media and streaming,Apply causality in experiments and marketing,A Survey of Causal Inference Applications at Netflix,causality,2022,https://netflixtechblog.com/a-survey-of-causal-inference-applications-at-netflix-b62d25175e6f,fa-music
Coupang,E-commerce and retail,ML use cases for a food delivery company,Overcoming food delivery challenges with data science,ops,2022,https://medium.com/coupang-engineering/overcoming-food-delivery-challenges-with-data-science-6420cac1d59,fa-shopping-cart
Tiktok,Social networks,Provide personalized online content recommendations,Monolith: Real Time Recommendation System With Collisionless Embedding Table,recommender system,2022,https://arxiv.org/pdf/2209.07663.pdf,fa-user-friends
Tubi,Media and streaming,Extract information from user feedback,Using Pre-Trained NLP Models to Interpret User Feedback at Tubi,NLP,2022,https://code.tubitv.com/using-pre-trained-nlp-models-to-interpret-user-feedback-at-tubi-6dffecf46510,fa-music
Coupang,E-commerce and retail,Match duplicate items,Matching duplicate items to improve catalog quality,product feature,2022,https://medium.com/coupang-engineering/matching-duplicate-items-to-improve-catalog-quality-ca4abc827f94,fa-shopping-cart
Mercado Libre,E-commerce and retail,Select features for fraud prevention system,Unsupervised feature selection with eigenvalue clipping and PCA,ops,2022,https://medium.com/mercadolibre-tech/unsupervised-feature-selection-with-eigenvalue-clipping-and-pca-7ce2936aed3a,fa-shopping-cart
Guardian,Media and streaming,Matching extracted entities to real names,Recognising ‘bad actors’ in data leaks with AI,NLP,2022,https://www.theguardian.com/info/2022/dec/09/recognising-bad-actors-in-data-leaks-with-ai,fa-music
Coupang,E-commerce and retail,Word segmentation for character-based languages,Unsupervised competing neural language model for word segmentation,product feature,2022,https://medium.com/coupang-engineering/unsupervised-competing-neural-language-model-for-word-segmentation-12becc1015bf,fa-shopping-cart
Cars24,E-commerce and retail,Detect blur to ensure image quality,Blur Classifier: Image Quality Detector,CV,2022,https://medium.com/cars24-data-science-blog/blur-classifier-image-quality-detector-7c1de5ff8e59,fa-shopping-cart
Asos,E-commerce and retail,Optimize promotional pricing in fashion e-commerce,Optimizing Markdown in Fashion E-Commerce with Machine Learning,pricing,2022,https://medium.com/asos-techblog/optimizing-markdown-in-fashion-e-commerce-with-machine-learning-9f173be08ace,fa-shopping-cart
